Date,Price,Open,High,Low,Vol.,Change %
4/1/2023,1909.2,"1,856.60","1,918.80","1,845.00",55.48K,2.42%
3/1/2023,1864,"1,732.00","1,874.50","1,661.00",1.54M,8.66%
2/1/2023,1715.5,"1,711.00","1,778.00","1,648.50",1.32M,0.06%
1/1/2023,1714.5,"1,461.00","1,717.50","1,450.00",1.29M,18.65%
12/1/2022,1445,"1,552.00","1,585.50","1,432.00",1.25M,-6.32%
11/1/2022,1542.5,"1,337.00","1,559.00","1,305.00",1.81M,17.70%
10/1/2022,1310.5,"1,225.00","1,374.00","1,196.00",1.57M,7.68%
9/1/2022,1217,"1,275.00","1,338.50","1,160.50",1.56M,-5.11%
8/1/2022,1282.5,"1,320.00","1,420.00","1,277.50",1.26M,-3.86%
7/1/2022,1334,"1,053.00","1,360.50","1,037.00",1.48M,25.02%
6/1/2022,1067,"1,117.50","1,140.50",957.6,1.75M,-3.87%
5/1/2022,1110,"1,172.00","1,174.50",995.8,1.94M,-6.45%
4/1/2022,1186.5,"1,292.00","1,318.50","1,160.00",1.25M,-8.13%
3/1/2022,1291.5,"1,239.50","1,318.50","1,060.00",2.48M,3.99%
2/1/2022,1242,"1,330.00","1,364.00","1,150.00",2.02M,-5.80%
1/1/2022,1318.5,"1,552.00","1,582.50","1,258.50",1.90M,-14.16%
12/1/2021,1536,"1,666.00","1,678.00","1,462.00",2.27M,-7.08%
11/1/2021,1653,"1,385.00","1,676.50","1,375.00",1.65M,20.61%
10/1/2021,1370.5,"1,180.00","1,370.50","1,166.50",1.10M,14.54%
9/1/2021,1196.5,"1,255.00","1,325.50","1,190.50",1.11M,-3.86%
8/1/2021,1244.5,"1,290.00","1,354.50","1,202.50",1.04M,-3.45%
7/1/2021,1289,"1,234.50","1,311.50","1,191.00",907.54K,4.92%
6/1/2021,1228.5,"1,158.00","1,237.50","1,141.50",1.08M,6.59%
5/1/2021,1152.5,"1,044.00","1,160.00","1,029.00",1.00M,10.39%
4/1/2021,1044,948,"1,065.50",945.8,947.87K,10.59%
3/1/2021,944,931,984.8,872.8,1.24M,2.25%
2/1/2021,923.2,850,"1,018.00",847.6,957.43K,9.57%
1/1/2021,842.6,888.6,898.2,839.4,953.60K,-4.21%
12/1/2020,879.6,823.8,890.2,815.8,1.09M,7.61%
11/1/2020,817.4,800.8,865,791.8,1.36M,2.30%
10/1/2020,799,741,830,738.4,1.27M,8.53%
9/1/2020,736.2,723,765.4,716.2,1.04M,2.34%
8/1/2020,719.4,680.2,729.6,679,1.00M,4.84%
7/1/2020,686.2,742,780,686.2,1.31M,-7.74%
6/1/2020,743.8,754.2,788.2,715.8,1.52M,-0.53%
5/1/2020,747.8,654,751.6,646.2,1.22M,11.98%
4/1/2020,667.8,620,701,592,1.18M,6.20%
3/1/2020,628.8,641,671.6,516,2.97M,-0.19%
2/1/2020,630,676.8,718,615,1.65M,-6.89%
1/1/2020,676.6,670.8,725.6,662.8,1.40M,1.56%
12/1/2019,666.2,682.4,689.2,644.2,1.01M,-2.03%
11/1/2019,680,645.2,683.8,641,1.24M,5.43%
10/1/2019,645,636,654.8,599.2,1.16M,1.74%
9/1/2019,634,622.6,656.6,614.6,1.19M,2.09%
8/1/2019,621,634.4,645.4,597.8,1.24M,-2.45%
7/1/2019,636.6,638.4,652,626.2,1.06M,0.38%
6/1/2019,634.2,593.8,638.4,590.6,1.12M,6.62%
5/1/2019,594.8,624.8,625.2,587.8,1.25M,-5.17%
4/1/2019,627.2,594,627.2,586.6,1.09M,6.63%
3/1/2019,588.2,563.8,598.4,554,1.25M,5.64%
2/1/2019,556.8,524,562.4,519.2,984.82K,6.18%
1/1/2019,524.4,480,524.4,462.4,1.28M,8.17%
12/1/2018,484.8,487.1,498.6,463.5,1.35M,1.49%
11/1/2018,477.7,505,515.8,475.4,1.56M,-5.41%
10/1/2018,505,570,574.2,482.2,2.07M,-11.50%
9/1/2018,570.6,560,576.8,526,1.58M,1.86%
8/1/2018,560.2,540.6,572.8,539.4,973.48K,3.43%
7/1/2018,541.6,521.8,558.6,516,1.51M,3.40%
6/1/2018,523.8,604.89,608.65,515.2,3.18M,-13.23%
5/1/2018,603.7,530.91,609.45,530.12,1.83M,13.62%
4/1/2018,531.31,477.76,531.31,475.58,1.19M,11.28%
3/1/2018,477.46,438.49,478.65,433.63,1.35M,8.91%
2/1/2018,438.39,440.97,446.13,414.39,1.10M,-0.70%
1/1/2018,441.47,442.06,447.91,435.32,877.24K,-0.24%
12/1/2017,442.51,438.64,446.52,429.32,1.09M,0.77%
11/1/2017,439.14,442.66,446.52,432.34,1.28M,-0.61%
10/1/2017,441.81,424.66,443.75,419.3,1.04M,4.45%
9/1/2017,422.97,442.76,446.33,412.21,1.43M,-4.00%
8/1/2017,440.57,425.8,445.23,423.92,887.06K,3.81%
7/1/2017,424.41,430.11,452.92,421.98,2.24M,-1.07%
6/1/2017,429.02,435.81,448.21,427.63,1.98M,-1.66%
5/1/2017,436.26,439.29,452.37,426.64,2.18M,0.17%
4/1/2017,435.52,441.27,464.37,427.78,1.35M,-1.10%
3/1/2017,440.38,411.32,440.67,410.78,828.68K,7.82%
2/1/2017,408.45,399.02,413.9,389.16,766.63K,2.35%
1/1/2017,399.08,385.74,410.53,383.06,791.07K,3.19%
12/1/2016,386.73,388.46,394.56,380.53,782.66K,0.15%
11/1/2016,386.13,367.89,390.1,360.6,981.75K,5.50%
10/1/2016,366.01,359.31,375.52,355,1.05M,1.89%
9/1/2016,359.21,375.57,391.09,346.07,1.57M,-4.32%
8/1/2016,375.42,381.13,395.65,374.68,1.00M,-1.61%
7/1/2016,381.57,334.47,382.57,330.9,1.41M,14.20%
6/1/2016,334.12,321.83,340.72,311.37,1.40M,3.69%
5/1/2016,322.23,309.48,325.05,307.8,984.51K,4.49%
4/1/2016,308.39,303.93,314.09,286.77,1.19M,0.50%
3/1/2016,306.86,309.93,332.19,303.33,1.02M,-1.61%
2/1/2016,311.86,311.27,324.9,278.84,1.33M,0.30%
1/1/2016,310.92,305.96,311.12,286.58,1.23M,0.58%
12/1/2015,309.14,331.94,339.83,303.78,1.23M,-6.45%
11/1/2015,330.45,344.54,355.49,317.42,1.12M,-4.88%
